Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,19,119.43,None
ebc9c10093a1255a,3,FAIL,6,121.43,start/end
ed40414d615431d6,3,FAIL,17,94.24,"start/end, rules"
dce20e150e7fcced,5,FAIL,19,163.14,None
3fe8a85b768ae5b7,1,FAIL,28,92.03,None
1284a7249a4fa10f,3,FAIL,11,83.11,start/end
cbeb87b359947c42,3,FAIL,17,220.10,start/end
c80d64b5c5e39d7b,5,FAIL,9,150.45,start/end
24e8876585456ee5,5,FAIL,21,1273.57,start/end
196a88635b1c83b4,4,FAIL,17,1298.52,start/end
e82bd665d710bb75,2,FAIL,11,1294.10,None
c6739963a7308111,3,FAIL,5,1305.38,start/end
953c10f2e4d6fd6,2,FAIL,5,118.06,start/end
d91761f3ba340d,4,FAIL,17,196.81,start/end
bc66c2e18fd6231b,3,FAIL,13,1286.02,start/end
4b236c53ea5fbbdf,3,FAIL,16,185.54,start/end
5f9a92945a4ab62e,1,FAIL,6,130.51,start/end
860fbc1cfd446f7c,3,FAIL,17,221.34,start/end
5b5d43da944a752d,4,FAIL,15,1251.98,start/end
971ad9f45d1bd53b,5,FAIL,31,1290.92,start/end
5b3d4d35ac301050,2,FAIL,12,1257.55,None
69a08c785ce5fcac,1,FAIL,5,2470.22,start/end
a814bed4f6905ba4,5,FAIL,15,158.31,None
f32fe4e5b37fedaa,5,FAIL,5,349.46,start/end
3ba7fc567dd14312,3,FAIL,19,1265.57,start/end
7ce0b04c1a28cca6,1,FAIL,5,360.73,None
8635ff1b1bcf0c2e,5,FAIL,8,559.45,start/end
21df75919e7080e4,3,FAIL,9,168.94,None
daa2db8c01da0bfa,5,FAIL,13,132.99,start/end
6443d25f8c289548,3,FAIL,17,337.81,start/end
91158b440e1d1942,5,FAIL,19,226.00,start/end
1ba6ec5d1f0c3bc6,2,FAIL,15,6042.21,start/end
de0f40e0c4c5852a,4,FAIL,9,201.87,start/end
7c2cc9e25acdc10f,4,FAIL,10,169.69,None
146a216115846f70,5,FAIL,3,301.38,start/end
704931925890a56c,2,FAIL,2,217.92,start/end
22c41f4911d10461,3,FAIL,19,1229.47,start/end
75761871763e88e3,2,FAIL,11,116.95,None
fee7fa98ecbf4534,1,FAIL,12,212.62,start/end
3abef01e5d890e13,4,FAIL,2,319.97,start/end
a71c3513799bf094,2,FAIL,15,209.66,start/end
3b229c1d0453a603,3,FAIL,15,1283.80,start/end
ba867d9c182c1124,1,FAIL,5,1250.76,start/end
22ee8177bb6b927d,4,FAIL,27,150.00,start/end
200a2fdec77f69b6,1,FAIL,9,1314.00,start/end
4c7b5bd02c9270d,3,FAIL,10,432.05,start/end
efb560f2141edf82,1,FAIL,11,1260.35,start/end
b7b817f9033f188,5,FAIL,1,217.79,start/end
4cc3d963aecb0aec,3,FAIL,17,169.02,start/end
6a4a59d9017e80e2,4,FAIL,4,192.89,start/end
a483b2ad65b79823,4,FAIL,14,1273.81,start/end
c611d73335c05ea3,3,FAIL,2,232.12,start/end
9fc7d6795a3be635,2,FAIL,11,332.92,None
9b4f3b36495c1615,3,FAIL,13,235.41,start/end
1b62c846b90e5d1d,3,FAIL,13,214.05,start/end
934d99322aa22dff,1,FAIL,4,280.47,start/end
cd5b6b24c51fb69a,2,FAIL,1,200.52,start/end
bb9d7db6f55f1f1e,4,FAIL,1,191.18,start/end
d1e03bb313e747a9,1,FAIL,13,314.29,start/end
e1b6f8b19d2f4176,2,FAIL,11,113.74,None
c09ea70a605760d3,1,FAIL,11,186.17,start/end
58a0f5bca3ff514c,5,FAIL,17,283.13,None
625730bf3883005c,4,FAIL,2,295.87,start/end
8211b75bfb0c714d,1,FAIL,9,149.13,start/end
12adf37a767b56ea,2,FAIL,11,288.07,start/end
4582b19904d9a029,1,PASS,10,147.52,None
62035ff8ad16cb71,2,FAIL,1,309.19,start/end
5c3f4379847796c4,4,FAIL,1,205.65,start/end
bc71d833fad658fb,1,FAIL,7,186.88,start/end
77da6edaa689f44a,2,FAIL,17,75.49,start/end
7326259652efbc9d,4,FAIL,8,1348.11,start/end
85f95e3fbcd76abb,3,FAIL,3,153.26,start/end
bb667cb09578b4a3,5,FAIL,1,84.55,start/end
ad8f394763490f26,3,FAIL,4,181.19,None
3d1c8a00f582892,3,FAIL,15,210.64,start/end
b10c07139b1aa490,1,FAIL,24,312.00,start/end
5d259263ec5a5c9e,4,FAIL,11,335.53,start/end
62d5ef592f8f91fc,3,FAIL,1,220.21,start/end
be49f0eca3cd4c32,1,FAIL,9,258.42,start/end
220246750ec56ccb,2,FAIL,19,75.25,start/end
f425a63fc423ced0,3,FAIL,9,1355.82,start/end
