Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,75,405.05,"start/end, intersecting, rules"
ebc9c10093a1255a,3,FAIL,0,479.35,"start/end, disconnected, intersecting, rules"
ed40414d615431d6,3,FAIL,10,228.16,rules
dce20e150e7fcced,5,FAIL,73,254.55,rules
3fe8a85b768ae5b7,1,FAIL,32,403.64,"intersecting, rules"
1284a7249a4fa10f,3,FAIL,5,439.20,None
cbeb87b359947c42,3,FAIL,10,470.71,None
c80d64b5c5e39d7b,5,FAIL,66,374.69,"start/end, rules"
24e8876585456ee5,5,FAIL,92,480.92,"disconnected, intersecting, rules"
196a88635b1c83b4,4,FAIL,64,396.57,"disconnected, intersecting, rules"
e82bd665d710bb75,2,FAIL,25,321.94,rules
c6739963a7308111,3,PASS,9,397.23,None
953c10f2e4d6fd6,2,FAIL,20,242.06,rules
d91761f3ba340d,4,FAIL,14,396.50,None
bc66c2e18fd6231b,3,FAIL,33,191.53,"intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,58,1299.16,"intersecting, rules"
5f9a92945a4ab62e,1,FAIL,16,340.26,rules
860fbc1cfd446f7c,3,FAIL,22,294.86,rules
5b5d43da944a752d,4,FAIL,20,347.53,rules
971ad9f45d1bd53b,5,FAIL,91,1376.23,"start/end, intersecting, rules"
5b3d4d35ac301050,2,FAIL,36,331.50,rules
69a08c785ce5fcac,1,FAIL,29,376.56,"intersecting, rules"
a814bed4f6905ba4,5,FAIL,39,475.44,rules
f32fe4e5b37fedaa,5,FAIL,51,1318.56,"intersecting, rules"
3ba7fc567dd14312,3,FAIL,42,386.96,"disconnected, intersecting, rules"
7ce0b04c1a28cca6,1,FAIL,21,198.24,rules
8635ff1b1bcf0c2e,5,FAIL,48,291.49,rules
21df75919e7080e4,3,FAIL,25,379.53,rules
daa2db8c01da0bfa,5,FAIL,58,355.88,"disconnected, intersecting, rules"
6443d25f8c289548,3,FAIL,4,446.72,None
91158b440e1d1942,5,FAIL,13,303.58,disconnected
1ba6ec5d1f0c3bc6,2,FAIL,29,1284.26,"disconnected, intersecting, rules"
de0f40e0c4c5852a,4,FAIL,44,401.68,"disconnected, rules"
7c2cc9e25acdc10f,4,FAIL,31,288.34,"disconnected, intersecting, rules"
146a216115846f70,5,FAIL,126,443.61,rules
704931925890a56c,2,FAIL,0,453.01,"start/end, disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,42,1278.47,rules
75761871763e88e3,2,FAIL,56,309.16,"disconnected, rules"
fee7fa98ecbf4534,1,PASS,7,325.56,None
3abef01e5d890e13,4,PASS,16,143.57,None
a71c3513799bf094,2,FAIL,29,223.88,rules
3b229c1d0453a603,3,FAIL,65,405.39,"start/end, intersecting, rules"
ba867d9c182c1124,1,FAIL,30,400.46,rules
22ee8177bb6b927d,4,FAIL,29,284.63,"disconnected, rules"
200a2fdec77f69b6,1,FAIL,14,402.87,rules
4c7b5bd02c9270d,3,FAIL,6,196.07,disconnected
efb560f2141edf82,1,FAIL,13,178.80,"start/end, rules"
b7b817f9033f188,5,FAIL,61,402.96,"disconnected, intersecting, rules"
4cc3d963aecb0aec,3,FAIL,27,429.09,"disconnected, rules"
6a4a59d9017e80e2,4,FAIL,21,210.68,"intersecting, rules"
a483b2ad65b79823,4,FAIL,52,408.20,"disconnected, intersecting, rules"
c611d73335c05ea3,3,FAIL,12,423.02,None
9fc7d6795a3be635,2,FAIL,13,379.33,rules
9b4f3b36495c1615,3,FAIL,28,389.67,"disconnected, rules"
1b62c846b90e5d1d,3,FAIL,37,1310.64,rules
934d99322aa22dff,1,FAIL,19,1273.14,rules
cd5b6b24c51fb69a,2,FAIL,38,298.85,"disconnected, rules"
bb9d7db6f55f1f1e,4,FAIL,147,1371.73,"intersecting, rules"
d1e03bb313e747a9,1,FAIL,28,498.39,rules
e1b6f8b19d2f4176,2,FAIL,24,403.24,"disconnected, rules"
c09ea70a605760d3,1,FAIL,17,354.67,None
58a0f5bca3ff514c,5,FAIL,53,342.07,rules
625730bf3883005c,4,FAIL,13,456.49,None
8211b75bfb0c714d,1,FAIL,18,1266.20,rules
12adf37a767b56ea,2,FAIL,26,358.20,"disconnected, intersecting, rules"
4582b19904d9a029,1,PASS,10,314.28,None
62035ff8ad16cb71,2,FAIL,42,324.18,"disconnected, intersecting, rules"
5c3f4379847796c4,4,FAIL,0,217.34,"start/end, disconnected, intersecting, rules"
bc71d833fad658fb,1,FAIL,12,228.95,rules
77da6edaa689f44a,2,FAIL,37,394.82,"disconnected, intersecting, rules"
7326259652efbc9d,4,FAIL,80,427.49,"disconnected, rules"
85f95e3fbcd76abb,3,FAIL,28,325.08,None
bb667cb09578b4a3,5,FAIL,9,424.63,None
ad8f394763490f26,3,FAIL,22,298.32,"start/end, disconnected, rules"
3d1c8a00f582892,3,FAIL,23,373.41,rules
b10c07139b1aa490,1,FAIL,24,140.70,"disconnected, rules"
5d259263ec5a5c9e,4,FAIL,28,369.38,"disconnected, intersecting, rules"
62d5ef592f8f91fc,3,FAIL,53,232.09,"intersecting, rules"
be49f0eca3cd4c32,1,FAIL,42,201.59,"intersecting, rules"
220246750ec56ccb,2,FAIL,50,248.79,"intersecting, rules"
f425a63fc423ced0,3,FAIL,7,1289.88,None
b3e3c52cd5223942,5,FAIL,34,2491.00,rules
ce576f59fcd8e5b5,4,FAIL,28,332.09,"disconnected, rules"
d71204c97803d9a,4,FAIL,15,394.67,rules
cc4ff7682e293a1b,2,FAIL,42,1278.26,rules
b25e33c50909fc03,2,FAIL,57,455.47,"disconnected, intersecting, rules"
f271fc95525040b1,5,FAIL,28,402.86,rules
9390c84b6360b4bb,1,FAIL,24,425.58,"start/end, disconnected, intersecting, rules"
a454bd9c3ad0168a,5,FAIL,55,272.50,rules
db130c08db23e907,1,FAIL,24,370.57,None
5c59a67541d92c71,5,FAIL,81,438.59,"intersecting, rules"
745deea1055373eb,3,FAIL,42,255.96,"disconnected, rules"
440d97e917325fb0,3,FAIL,13,176.00,rules
dbd181183bb9f775,4,FAIL,24,361.38,disconnected
fef8e390bd7a2a7a,5,FAIL,19,426.89,"disconnected, rules"
3987c3fc8d33089e,3,FAIL,40,345.15,"intersecting, rules"
851365be4fc5c5e,2,PASS,2,406.65,None
e20e6b6a00158bdc,5,FAIL,16,2471.08,rules
841b2d97bb365b8b,4,FAIL,0,444.89,"start/end, disconnected, intersecting, rules"
b4d66071dc728f44,2,FAIL,42,396.72,rules
1e7c5367fa438e3b,5,FAIL,16,219.67,rules
b8eb6f7dd1cc9b86,1,FAIL,10,318.98,rules
1796837aa68c2b76,3,FAIL,76,416.29,"intersecting, rules"
598f03a76e659bbd,3,FAIL,34,350.29,rules
a8ea92dd47f4186b,2,FAIL,68,281.24,"intersecting, rules"
a305fe218d16e612,4,FAIL,10,393.54,None
d58e426a05bbebe0,4,FAIL,17,446.29,None
95baf8b98ab6874,5,FAIL,22,436.94,"disconnected, rules"
d72e6e1a7317b676,4,FAIL,24,377.42,rules
b2888d9633744522,3,FAIL,23,269.03,None
fb69acc1bff1c7b5,2,FAIL,25,426.45,rules
1b23ec5dcd81c575,2,FAIL,47,414.80,"disconnected, rules"
dedb9695c830d9a1,5,FAIL,11,236.24,None
94e6829bc5fe599b,4,FAIL,23,1282.88,rules
7f61e30cde11dfd2,5,FAIL,0,346.38,"start/end, disconnected, intersecting, rules"
ac07176ade6d4fcc,2,FAIL,103,256.52,"intersecting, rules"
aecb916b87a88a32,3,FAIL,14,1241.74,rules
6a3a112c0f2e831b,5,FAIL,87,351.54,rules
e836ae53a1a6b880,5,FAIL,38,376.26,rules
58d9c6f1f97d78c1,2,FAIL,7,388.83,rules
10bea253035c791c,2,FAIL,59,252.76,rules
5569f16359d15a33,5,FAIL,25,203.85,rules
d4af13ed1d455209,1,FAIL,29,348.43,"disconnected, rules"
4efa50053369c63c,3,FAIL,29,307.91,"disconnected, rules"
4088920d22fbc15a,2,FAIL,29,203.57,"intersecting, rules"
9ecc1e98360e6c0d,3,FAIL,43,444.29,rules
8b47902d43ed5c7,3,FAIL,31,233.74,"intersecting, rules"
6911f7c1419318bb,4,FAIL,60,334.22,"disconnected, rules"
ed62498f9a7cf7a5,4,FAIL,21,319.27,"disconnected, rules"
4b518615758126ef,3,FAIL,7,241.88,None
a2a967199664a80,4,FAIL,78,441.31,"intersecting, rules"
93c544fa7b73dc1a,4,FAIL,29,214.70,rules
b54da7bdff2713e1,2,FAIL,31,324.68,"disconnected, intersecting, rules"
2c5ddc804e5b35ba,1,FAIL,26,228.71,"disconnected, intersecting, rules"
241a28965ab741d,1,FAIL,57,364.53,"disconnected, intersecting, rules"
4a5c32111bf61aae,5,FAIL,106,1321.35,"start/end, rules"
65171c970b77339e,2,FAIL,26,384.47,rules
70c971586d6ab721,1,FAIL,21,188.09,rules
dd196820fff0f585,2,FAIL,16,383.56,rules
683d3d2b64d8d1fb,4,FAIL,40,365.18,"intersecting, rules"
3ca9fa7e19e2188c,4,FAIL,37,237.62,rules
581706995f65f93d,5,FAIL,52,264.41,"intersecting, rules"
8f5dd8ca7b23f826,4,FAIL,32,361.93,None
4c6a9d610b717d17,3,FAIL,27,173.75,rules
f701ba6827f8ceff,2,FAIL,58,1319.12,"intersecting, rules"
24dd9a735b612dc1,3,FAIL,29,1306.25,rules
138e21433d2e6a52,2,FAIL,31,1305.04,"intersecting, rules"
72a1fec5c73b6560,4,FAIL,129,455.70,"start/end, intersecting, rules"
86c16115d5cda6a0,5,FAIL,26,535.61,rules
2790e863a5831db9,3,FAIL,14,242.26,rules
ab298046d34718be,5,FAIL,10,1271.09,None
ad8274727f965b1c,1,FAIL,47,297.79,"disconnected, intersecting, rules"
a722e79130881da0,2,FAIL,29,293.28,"disconnected, intersecting, rules"
9435f4bc2b1cf34d,1,FAIL,7,383.92,disconnected
2e4b26ec1c401cbe,4,FAIL,79,1269.42,"start/end, intersecting, rules"
8b308dfba88e4ac,3,FAIL,33,307.68,"disconnected, rules"
701d6d1daff25a25,2,FAIL,53,347.46,"disconnected, intersecting, rules"
f42b8d86bfb89096,1,FAIL,4,321.24,None
c4341ab9fd5c439c,1,FAIL,19,284.31,"intersecting, rules"
97be11048bb04a30,3,FAIL,22,376.13,rules
7f403db698db059f,1,FAIL,20,351.76,"disconnected, intersecting, rules"
9e892fbdd6f4c4a9,2,FAIL,29,290.71,"disconnected, intersecting, rules"
b7672ba95aff4ff6,5,FAIL,36,1291.46,"disconnected, intersecting, rules"
e0e6857dd441101b,2,FAIL,30,315.04,"disconnected, intersecting, rules"
a12c7a055e6395a2,2,FAIL,49,382.70,"start/end, intersecting, rules"
e8f814f726cb4612,5,FAIL,48,352.66,rules
fc19c4a5e89d29f4,4,FAIL,36,168.98,"disconnected, rules"
4ec9d16a5a573d4e,2,FAIL,10,179.49,rules
8bbb1046d8c49095,1,FAIL,4,348.61,"start/end, disconnected"
8e231f18dc7d476f,5,FAIL,18,1324.94,None
50ed62dcb0f1bce3,4,FAIL,11,126.43,None
154515f7b4e4fe2b,2,FAIL,34,426.36,"disconnected, intersecting, rules"
1a43bd0f8e35bd1d,2,FAIL,47,324.38,rules
281ee792644831c5,2,FAIL,58,321.66,"disconnected, intersecting, rules"
c881c033239a38de,3,FAIL,40,1296.55,rules
a92cdc81d7a94775,5,FAIL,17,352.93,None
9283bfdf68bc92a8,2,FAIL,20,393.47,rules
b7cbcba402c57078,2,FAIL,13,388.03,None
11846421c28ce2aa,4,FAIL,20,447.93,None
2a0e2b1240764998,4,FAIL,19,398.76,rules
577d6771b88eca36,3,FAIL,29,379.59,"disconnected, rules"
9c31840855436adc,5,FAIL,30,268.58,None
495da6f2a1c1f750,5,FAIL,16,431.06,"intersecting, rules"
544628c3b3077982,5,FAIL,32,234.98,rules
95bd7bebb5849554,2,FAIL,83,392.56,"disconnected, intersecting, rules"
5daa7098e5e15b8a,3,FAIL,12,1255.42,rules
2d360e53c1cbf48e,2,FAIL,9,311.41,None
ad210a7535f9228a,3,FAIL,12,275.72,rules
4d1f8e4f341d8ba,2,FAIL,0,412.48,"start/end, disconnected, intersecting, rules"
c0bf87685a69078a,2,FAIL,26,415.54,rules
e155b38ad467ae03,5,FAIL,91,410.57,"intersecting, rules"
525f7011d139f68e,1,FAIL,21,327.61,"disconnected, intersecting, rules"
85ace8079f2972ab,3,FAIL,47,1307.85,rules
d79be6059dc29292,2,FAIL,14,224.13,rules
bc2d315cd19b8b76,3,FAIL,26,2431.36,"disconnected, intersecting, rules"
336018fab47f526a,2,FAIL,17,243.05,None
9a0559017cacdd9c,1,FAIL,8,433.24,None
5d4260bea3b7d613,1,FAIL,13,137.19,"disconnected, rules"
14738c1f0e0cf17e,2,FAIL,7,2451.36,None
23f41583d9fe02ee,2,FAIL,73,2488.09,"intersecting, rules"
