Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,7,1.4%
Failed,493,98.6%
,,
Fully Valid Paths,39,7.8%
Connected Paths,443,88.6%
Correct Start/End,469,93.8%
Non-Intersecting,428,85.6%
No Rule Violations,40,8.0%
,,
Avg Path Length,20.0 steps,
Min Path Length,1 steps,
Max Path Length,68 steps,
,,
Difficulty 1 Solved,5/86,5.8%
Difficulty 2 Solved,2/118,1.7%
Difficulty 3 Solved,0/121,0.0%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,617033.5 seconds,
Avg Time per Puzzle,1234.07 seconds,
Puzzles per Minute,0.0,
