Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,33,1001.96,"intersecting, rules"
ebc9c10093a1255a,3,FAIL,0,771.36,"start/end, disconnected, intersecting, rules"
ed40414d615431d6,3,FAIL,20,1103.60,rules
dce20e150e7fcced,5,FAIL,19,681.44,rules
3fe8a85b768ae5b7,1,FAIL,0,623.64,"start/end, disconnected, intersecting, rules"
1284a7249a4fa10f,3,FAIL,21,1404.95,rules
cbeb87b359947c42,3,FAIL,15,1073.14,"start/end, rules"
c80d64b5c5e39d7b,5,FAIL,24,1379.42,rules
24e8876585456ee5,5,FAIL,43,925.82,rules
196a88635b1c83b4,4,FAIL,24,972.97,rules
e82bd665d710bb75,2,FAIL,17,688.94,rules
c6739963a7308111,3,FAIL,9,614.84,rules
953c10f2e4d6fd6,2,FAIL,0,1452.79,"start/end, disconnected, intersecting, rules"
d91761f3ba340d,4,FAIL,0,1428.81,"start/end, disconnected, intersecting, rules"
bc66c2e18fd6231b,3,FAIL,0,1171.37,"start/end, disconnected, intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,30,1462.91,rules
5f9a92945a4ab62e,1,FAIL,0,372.67,"start/end, disconnected, intersecting, rules"
860fbc1cfd446f7c,3,FAIL,20,825.71,rules
5b5d43da944a752d,4,FAIL,0,543.75,"start/end, disconnected, intersecting, rules"
971ad9f45d1bd53b,5,FAIL,29,696.10,"disconnected, rules"
5b3d4d35ac301050,2,FAIL,12,708.59,rules
69a08c785ce5fcac,1,PASS,7,616.65,None
a814bed4f6905ba4,5,FAIL,0,1087.04,"start/end, disconnected, intersecting, rules"
f32fe4e5b37fedaa,5,FAIL,37,666.00,rules
3ba7fc567dd14312,3,FAIL,0,587.66,"start/end, disconnected, intersecting, rules"
7ce0b04c1a28cca6,1,FAIL,21,623.21,rules
8635ff1b1bcf0c2e,5,FAIL,0,964.66,"start/end, disconnected, intersecting, rules"
21df75919e7080e4,3,FAIL,0,377.85,"start/end, disconnected, intersecting, rules"
daa2db8c01da0bfa,5,FAIL,31,1423.25,rules
6443d25f8c289548,3,FAIL,26,679.82,rules
91158b440e1d1942,5,FAIL,47,1004.32,"start/end, intersecting, rules"
1ba6ec5d1f0c3bc6,2,FAIL,0,1367.41,"start/end, disconnected, intersecting, rules"
de0f40e0c4c5852a,4,FAIL,24,734.20,"start/end, rules"
7c2cc9e25acdc10f,4,FAIL,26,502.64,rules
146a216115846f70,5,FAIL,18,532.32,rules
704931925890a56c,2,FAIL,0,752.67,"start/end, disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,17,1365.14,"start/end, rules"
