Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,25,766.20,rules
ebc9c10093a1255a,3,FAIL,26,839.31,rules
ed40414d615431d6,3,FAIL,18,759.50,rules
dce20e150e7fcced,5,FAIL,67,1014.54,rules
3fe8a85b768ae5b7,1,FAIL,26,1415.30,"start/end, rules"
1284a7249a4fa10f,3,FAIL,0,770.67,"start/end, disconnected, intersecting, rules"
cbeb87b359947c42,3,FAIL,24,730.89,rules
c80d64b5c5e39d7b,5,FAIL,0,578.40,"start/end, disconnected, intersecting, rules"
24e8876585456ee5,5,FAIL,43,1562.32,rules
196a88635b1c83b4,4,FAIL,14,834.06,rules
e82bd665d710bb75,2,FAIL,23,710.14,rules
c6739963a7308111,3,FAIL,13,1165.72,rules
953c10f2e4d6fd6,2,FAIL,20,925.43,rules
d91761f3ba340d,4,FAIL,0,847.88,"start/end, disconnected, intersecting, rules"
bc66c2e18fd6231b,3,FAIL,0,819.51,"start/end, disconnected, intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,16,968.90,rules
5f9a92945a4ab62e,1,FAIL,0,1390.94,"start/end, disconnected, intersecting, rules"
860fbc1cfd446f7c,3,FAIL,26,1147.06,rules
5b5d43da944a752d,4,FAIL,14,1161.17,rules
971ad9f45d1bd53b,5,FAIL,23,763.95,rules
5b3d4d35ac301050,2,FAIL,18,924.39,rules
69a08c785ce5fcac,1,FAIL,7,467.44,rules
a814bed4f6905ba4,5,FAIL,0,1033.03,"start/end, disconnected, intersecting, rules"
f32fe4e5b37fedaa,5,FAIL,21,1457.26,rules
3ba7fc567dd14312,3,FAIL,11,963.25,rules
7ce0b04c1a28cca6,1,FAIL,0,490.37,"start/end, disconnected, intersecting, rules"
8635ff1b1bcf0c2e,5,FAIL,28,1138.57,rules
21df75919e7080e4,3,FAIL,9,917.10,rules
daa2db8c01da0bfa,5,FAIL,0,983.14,"start/end, disconnected, intersecting, rules"
6443d25f8c289548,3,FAIL,0,825.81,"start/end, disconnected, intersecting, rules"
91158b440e1d1942,5,FAIL,14,898.75,rules
1ba6ec5d1f0c3bc6,2,FAIL,20,849.06,rules
de0f40e0c4c5852a,4,FAIL,0,1450.18,"start/end, disconnected, intersecting, rules"
7c2cc9e25acdc10f,4,FAIL,26,777.29,rules
146a216115846f70,5,FAIL,24,722.40,rules
704931925890a56c,2,FAIL,20,1362.07,rules
22c41f4911d10461,3,FAIL,0,710.11,"start/end, disconnected, intersecting, rules"
75761871763e88e3,2,FAIL,21,613.81,rules
fee7fa98ecbf4534,1,FAIL,0,702.98,"start/end, disconnected, intersecting, rules"
3abef01e5d890e13,4,PASS,16,969.58,None
a71c3513799bf094,2,FAIL,43,1146.24,rules
3b229c1d0453a603,3,FAIL,25,867.22,rules
ba867d9c182c1124,1,FAIL,6,1385.91,None
22ee8177bb6b927d,4,FAIL,30,1019.17,rules
200a2fdec77f69b6,1,FAIL,0,513.88,"start/end, disconnected, intersecting, rules"
4c7b5bd02c9270d,3,FAIL,17,777.47,rules
efb560f2141edf82,1,FAIL,0,721.81,"start/end, disconnected, intersecting, rules"
b7b817f9033f188,5,FAIL,28,1050.22,rules
4cc3d963aecb0aec,3,FAIL,21,1027.56,"disconnected, rules"
6a4a59d9017e80e2,4,FAIL,31,852.77,rules
a483b2ad65b79823,4,FAIL,19,539.26,rules
c611d73335c05ea3,3,FAIL,26,865.16,rules
9fc7d6795a3be635,2,PASS,11,724.01,None
9b4f3b36495c1615,3,FAIL,11,970.33,None
1b62c846b90e5d1d,3,FAIL,0,1020.39,"start/end, disconnected, intersecting, rules"
934d99322aa22dff,1,FAIL,0,811.77,"start/end, disconnected, intersecting, rules"
cd5b6b24c51fb69a,2,FAIL,11,973.81,rules
bb9d7db6f55f1f1e,4,FAIL,0,576.58,"start/end, disconnected, intersecting, rules"
d1e03bb313e747a9,1,FAIL,0,984.49,"start/end, disconnected, intersecting, rules"
e1b6f8b19d2f4176,2,FAIL,0,1422.21,"start/end, disconnected, intersecting, rules"
c09ea70a605760d3,1,FAIL,15,423.57,rules
58a0f5bca3ff514c,5,FAIL,0,1435.40,"start/end, disconnected, intersecting, rules"
625730bf3883005c,4,FAIL,25,1153.61,rules
8211b75bfb0c714d,1,FAIL,10,579.68,rules
12adf37a767b56ea,2,FAIL,0,865.88,"start/end, disconnected, intersecting, rules"
4582b19904d9a029,1,FAIL,0,627.61,"start/end, disconnected, intersecting, rules"
62035ff8ad16cb71,2,FAIL,31,1193.99,"intersecting, rules"
5c3f4379847796c4,4,FAIL,27,753.00,rules
bc71d833fad658fb,1,FAIL,0,979.59,"start/end, disconnected, intersecting, rules"
77da6edaa689f44a,2,FAIL,9,709.99,rules
7326259652efbc9d,4,FAIL,27,898.54,rules
85f95e3fbcd76abb,3,FAIL,0,1044.95,"start/end, disconnected, intersecting, rules"
bb667cb09578b4a3,5,FAIL,42,865.70,"disconnected, rules"
ad8f394763490f26,3,FAIL,10,1044.42,rules
3d1c8a00f582892,3,FAIL,0,1434.06,"start/end, disconnected, intersecting, rules"
b10c07139b1aa490,1,FAIL,11,778.54,rules
5d259263ec5a5c9e,4,FAIL,0,1074.14,"start/end, disconnected, intersecting, rules"
62d5ef592f8f91fc,3,FAIL,0,742.11,"start/end, disconnected, intersecting, rules"
