Puzzle ID,Difficulty,Solved,Path Length,Time (s),Issues
aa31d05ed8fdb273,3,FAIL,39,666.16,rules
ebc9c10093a1255a,3,FAIL,0,511.31,"start/end, disconnected, intersecting, rules"
ed40414d615431d6,3,FAIL,16,964.83,rules
dce20e150e7fcced,5,FAIL,33,844.19,rules
3fe8a85b768ae5b7,1,FAIL,0,944.63,"start/end, disconnected, intersecting, rules"
1284a7249a4fa10f,3,FAIL,0,873.91,"start/end, disconnected, intersecting, rules"
cbeb87b359947c42,3,FAIL,0,830.41,"start/end, disconnected, intersecting, rules"
c80d64b5c5e39d7b,5,FAIL,0,1333.90,"start/end, disconnected, intersecting, rules"
24e8876585456ee5,5,FAIL,0,1368.25,"start/end, disconnected, intersecting, rules"
196a88635b1c83b4,4,FAIL,0,1010.32,"start/end, disconnected, intersecting, rules"
e82bd665d710bb75,2,FAIL,19,469.57,rules
c6739963a7308111,3,FAIL,0,876.61,"start/end, disconnected, intersecting, rules"
953c10f2e4d6fd6,2,FAIL,0,990.37,"start/end, disconnected, intersecting, rules"
d91761f3ba340d,4,FAIL,26,668.17,rules
bc66c2e18fd6231b,3,FAIL,0,891.36,"start/end, disconnected, intersecting, rules"
4b236c53ea5fbbdf,3,FAIL,24,1043.51,"intersecting, rules"
5f9a92945a4ab62e,1,FAIL,0,527.17,"start/end, disconnected, intersecting, rules"
860fbc1cfd446f7c,3,FAIL,0,658.23,"start/end, disconnected, intersecting, rules"
5b5d43da944a752d,4,PASS,10,531.30,None
971ad9f45d1bd53b,5,FAIL,0,664.00,"start/end, disconnected, intersecting, rules"
5b3d4d35ac301050,2,FAIL,0,840.14,"start/end, disconnected, intersecting, rules"
69a08c785ce5fcac,1,FAIL,9,467.84,rules
a814bed4f6905ba4,5,FAIL,27,826.50,rules
f32fe4e5b37fedaa,5,FAIL,21,861.35,rules
3ba7fc567dd14312,3,FAIL,0,603.24,"start/end, disconnected, intersecting, rules"
7ce0b04c1a28cca6,1,FAIL,21,436.55,rules
8635ff1b1bcf0c2e,5,FAIL,40,870.75,rules
21df75919e7080e4,3,FAIL,13,700.25,rules
daa2db8c01da0bfa,5,FAIL,0,653.90,"start/end, disconnected, intersecting, rules"
6443d25f8c289548,3,FAIL,0,915.42,"start/end, disconnected, intersecting, rules"
91158b440e1d1942,5,FAIL,22,665.17,rules
1ba6ec5d1f0c3bc6,2,FAIL,36,937.80,rules
de0f40e0c4c5852a,4,FAIL,42,817.84,rules
7c2cc9e25acdc10f,4,FAIL,0,684.09,"start/end, disconnected, intersecting, rules"
146a216115846f70,5,FAIL,16,760.95,rules
704931925890a56c,2,FAIL,0,640.48,"start/end, disconnected, intersecting, rules"
22c41f4911d10461,3,FAIL,40,774.99,"intersecting, rules"
75761871763e88e3,2,FAIL,15,661.25,rules
fee7fa98ecbf4534,1,FAIL,0,702.28,"start/end, disconnected, intersecting, rules"
3abef01e5d890e13,4,FAIL,18,1379.95,rules
a71c3513799bf094,2,FAIL,27,1440.81,"intersecting, rules"
